Item,Contact_Name,Email,Postcode,Event,Event_Date,Status,Comments
RI-RI-331928,Chloe Martin,chloe.martin45@outlook.com,PL4 1 DN,Theatre Night,2026-03-03,Confirmed,Follow up required
RI-RI-324745,Charlie Walker,charlie.walker32@yahoo.co.uk,PL6 7 NH,Theatre Night,2026-03-03,Confirmed,
RI-RI-827661,Olivia Singh,olivia.singh79@icloud.com,PL3 4 CP,Theatre Night,2026-03-03,Confirmed,Repeat attendee
RI-RI-697949,Evie Cooper,evie.cooper32@outlook.com,PL1 5 RC,Theatre Night,2026-03-03,Confirmed,
RI-RI-460853,Max Scott,max.scott44@hotmail.co.uk,PL5 1 AM,Theatre Night,2026-03-03,Attended,Repeat attendee
RI-RI-678806,Henry Moore,henry.moore73@icloud.com,EX1 2 FF,Theatre Night,2026-03-03,Confirmed,Community partner
RI-RI-122318,Oscar Johnson,oscar.johnson58@outlook.com,TQ12 6 HA,Theatre Night,2026-03-03,Confirmed,Community partner
RI-RI-366082,Lily Jones,lily.jones60@hotmail.co.uk,EX4 6 RZ,Theatre Night,2026-03-03,Confirmed,
RI-RI-467826,Ethan Bell,ethan.bell17@icloud.com,PL7 8 FU,Theatre Night,2026-03-03,Confirmed,Repeat attendee
RI-RI-674307,Amelia Cooper,amelia.cooper1@gmail.com,TQ4 1 CY,Theatre Night,2026-03-03,Cancelled,Community partner
RI-RI-704428,William Hill,william.hill9@icloud.com,PL9 9 MQ,Theatre Night,2026-03-03,Confirmed,Community partner
RI-RI-901456,Evie Perry,evie.perry88@hotmail.co.uk,PL3 9 CL,Theatre Night,2026-03-03,Attended,
RI-RI-104900,Charlie Wilson,charlie.wilson53@outlook.com,PL6 2 MB,Theatre Night,2026-03-03,Attended,Community partner
RI-RI-516232,Lucas Roberts,lucas.roberts56@gmail.com,PL2 7 EF,Music Showcase,2026-05-24,Attended,
RI-RI-790719,Jessica Smith,jessica.smith8@gmail.com,PL5 6 WV,Music Showcase,2026-05-24,Cancelled,Community partner
RI-RI-134752,Emma Wood,emma.wood27@icloud.com,PL14 1 MO,Music Showcase,2026-05-24,Confirmed,Follow up required
RI-RI-184788,Oscar Cook,oscar.cook64@icloud.com,PL7 2 PY,Music Showcase,2026-05-24,Attended,Repeat attendee
RI-RI-671053,Leo Martin,leo.martin44@yahoo.co.uk,PL4 5 MX,Music Showcase,2026-05-24,Confirmed,Community partner
RI-RI-584251,Charlie Wilson,charlie.wilson11@hotmail.co.uk,PL7 7 QT,Music Showcase,2026-05-24,Attended,Repeat attendee
RI-RI-110459,Samuel Ahmed,samuel.ahmed46@hotmail.co.uk,PL4 1 CT,Music Showcase,2026-05-24,Attended,Follow up required
RI-RI-857215,Chloe Green,chloe.green60@icloud.com,PL9 3 GZ,Music Showcase,2026-05-24,Confirmed,Community partner
RI-RI-390658,Thomas Jones,thomas.jones81@icloud.com,TQ1 4 TR,Music Showcase,2026-05-24,Confirmed,Repeat attendee
RI-RI-719476,Poppy Clarke,poppy.clarke51@outlook.com,PL7 4 OQ,Music Showcase,2026-05-24,Attended,Repeat attendee
RI-RI-571285,Ruby Jones,ruby.jones98@gmail.com,PL1 5 VW,Music Showcase,2026-05-24,Attended,Community partner
RI-RI-419879,Joshua White,joshua.white87@icloud.com,PL3 6 IB,Music Showcase,2026-05-24,Attended,Follow up required
RI-RI-140291,Henry Taylor,henry.taylor60@hotmail.co.uk,PL9 9 AN,Music Showcase,2026-05-24,Confirmed,
RI-RI-501485,Alice Hill,alice.hill7@icloud.com,PL3 7 WN,Music Showcase,2026-05-24,Attended,Follow up required
RI-RI-940063,Grace Thomas,grace.thomas90@gmail.com,TR7 2 AV,Music Showcase,2026-05-24,Confirmed,Repeat attendee
RI-RI-716981,Phoebe Roberts,phoebe.roberts11@hotmail.co.uk,PL7 4 KL,Music Showcase,2026-05-24,Cancelled,Follow up required
RI-RI-493866,Harry Scott,harry.scott32@icloud.com,EX2 9 QY,Music Showcase,2026-05-24,Confirmed,Follow up required
RI-RI-485490,Freya Ahmed,freya.ahmed35@outlook.com,TA1 1 HR,Music Showcase,2026-05-24,Attended,Follow up required
RI-RI-294040,Mia Allen,mia.allen90@yahoo.co.uk,PL1 9 EC,Music Showcase,2026-05-24,Confirmed,Follow up required
RI-RI-364275,Phoebe Hill,phoebe.hill54@icloud.com,TA1 2 EE,Music Showcase,2026-05-24,Confirmed,Repeat attendee
RI-RI-793096,Noah Wilson,noah.wilson85@yahoo.co.uk,PL2 8 PE,Music Showcase,2026-05-24,Confirmed,Repeat attendee
RI-RI-185057,Daniel Wilson,daniel.wilson9@icloud.com,TA6 8 AV,Music Showcase,2026-05-24,Confirmed,Follow up required
RI-RI-698572,Charlotte Williams,charlotte.williams94@icloud.com,PL1 8 IG,Music Showcase,2026-05-24,Confirmed,
RI-RI-944992,Joshua Bennett,joshua.bennett60@icloud.com,PL1 9 VK,Music Showcase,2026-05-24,Confirmed,Repeat attendee
RI-RI-685874,William Cook,william.cook95@gmail.com,PL1 3 ZM,Music Showcase,2026-05-24,Attended,Follow up required
RI-RI-797747,Harry Singh,harry.singh54@gmail.com,TQ2 5 DK,Music Showcase,2026-05-24,Confirmed,Follow up required
RI-RI-646037,Emma Ward,emma.ward8@gmail.com,PL2 1 LA,Music Showcase,2026-05-24,Confirmed,Community partner
RI-RI-659700,George Harris,george.harris49@icloud.com,PL3 6 XG,Guest Speaker,2026-05-26,Confirmed,Community partner
RI-RI-447570,Amelia Allen,amelia.allen11@icloud.com,TA1 2 XT,Guest Speaker,2026-05-26,Attended,Follow up required
RI-RI-930084,Sophie Perry,sophie.perry12@icloud.com,TQ4 7 DD,Guest Speaker,2026-05-26,Confirmed,Repeat attendee
RI-RI-641857,Noah Bell,noah.bell29@yahoo.co.uk,PL6 4 SQ,Guest Speaker,2026-05-26,Confirmed,Community partner
RI-RI-720862,Daniel Martin,daniel.martin49@yahoo.co.uk,PL6 7 MK,Guest Speaker,2026-05-26,Confirmed,Community partner
RI-RI-825128,Jacob Cooper,jacob.cooper46@icloud.com,TA6 1 JZ,Guest Speaker,2026-05-26,Confirmed,Repeat attendee
RI-RI-962392,Sophie Murphy,sophie.murphy87@hotmail.co.uk,PL3 2 HF,Guest Speaker,2026-05-26,Attended,Community partner
RI-RI-969674,Lucy Perry,lucy.perry67@hotmail.co.uk,TQ2 9 DQ,Guest Speaker,2026-05-26,Confirmed,
RI-RI-319217,Charlie Wilson,charlie.wilson11@hotmail.co.uk,PL7 7 QT,Guest Speaker,2026-05-26,Confirmed,
RI-RI-711009,Jessica Hall,jessica.hall41@yahoo.co.uk,PL2 4 NJ,Guest Speaker,2026-05-26,Confirmed,Community partner
RI-RI-866889,Charlie Brown,charlie.brown92@gmail.com,PL3 1 IJ,Guest Speaker,2026-05-26,Confirmed,Community partner
RI-RI-240045,Grace Baker,grace.baker34@hotmail.co.uk,PL1 9 AR,Cultural Evening,2026-05-27,Attended,Follow up required
RI-RI-571303,Chloe Young,chloe.young72@yahoo.co.uk,PL3 2 OH,Cultural Evening,2026-05-27,Attended,Community partner
RI-RI-844966,Ella Taylor,ella.taylor14@icloud.com,PL4 7 LF,Cultural Evening,2026-05-27,Confirmed,Repeat attendee
RI-RI-225822,Megan Thomas,megan.thomas3@outlook.com,TQ2 2 BX,Cultural Evening,2026-05-27,Confirmed,
RI-RI-149893,Henry Moore,henry.moore73@icloud.com,EX1 2 FF,Cultural Evening,2026-05-27,Confirmed,
RI-RI-109581,Grace Wilson,grace.wilson32@outlook.com,PL5 1 YS,Cultural Evening,2026-05-27,Confirmed,Follow up required
RI-RI-407121,Freya Jones,freya.jones7@gmail.com,PL7 4 RU,Cultural Evening,2026-05-27,Confirmed,
RI-RI-219149,Oliver Bennett,oliver.bennett26@gmail.com,PL9 2 FR,Cultural Evening,2026-05-27,Attended,
RI-RI-490768,Evie Green,evie.green25@hotmail.co.uk,PL5 4 HV,Cultural Evening,2026-05-27,Attended,Community partner
RI-RI-703348,Leo Moore,leo.moore80@outlook.com,EX4 9 JE,Artist Residency Event,2026-06-12,Confirmed,Repeat attendee
RI-RI-288043,Alice Harris,alice.harris58@yahoo.co.uk,PL2 2 WD,Artist Residency Event,2026-06-12,Confirmed,Follow up required
RI-RI-818242,Joshua Evans,joshua.evans63@icloud.com,PL6 2 HZ,Artist Residency Event,2026-06-12,Attended,Community partner
RI-RI-743798,Joshua Davies,joshua.davies22@icloud.com,PL6 4 LX,Artist Residency Event,2026-06-12,Attended,Community partner
RI-RI-889078,Sophie Ward,sophie.ward13@yahoo.co.uk,PL4 9 SF,Artist Residency Event,2026-06-12,Confirmed,Community partner
RI-RI-521045,George Baker,george.baker47@hotmail.co.uk,TA6 9 GS,Artist Residency Event,2026-06-12,Attended,
RI-RI-527954,Poppy Johnson,poppy.johnson97@yahoo.co.uk,PL6 9 QO,Artist Residency Event,2026-06-12,Confirmed,Follow up required
RI-RI-816593,Alice Scott,alice.scott87@hotmail.co.uk,PL3 3 ET,Artist Residency Event,2026-06-12,Attended,Repeat attendee
RI-RI-845946,Amelia Bell,amelia.bell84@yahoo.co.uk,TQ4 6 PG,Artist Residency Event,2026-06-12,Confirmed,Repeat attendee
RI-RI-872480,Jessica Johnson,jessica.johnson26@hotmail.co.uk,PL3 1 WH,Artist Residency Event,2026-06-12,Confirmed,Follow up required
RI-RI-153524,Jacob Martin,jacob.martin9@yahoo.co.uk,PL7 9 NY,Artist Residency Event,2026-06-12,Attended,
RI-RI-522517,Chloe Baker,chloe.baker49@hotmail.co.uk,EX3 7 AX,Artist Residency Event,2026-06-12,Confirmed,
RI-RI-638987,Ella Allen,ella.allen9@icloud.com,PL2 3 ST,Artist Residency Event,2026-06-12,Cancelled,
RI-RI-299713,William Baker,william.baker1@gmail.com,PL3 9 UZ,Artist Residency Event,2026-06-12,Confirmed,
RI-RI-306065,Charlie Walker,charlie.walker32@yahoo.co.uk,PL6 7 NH,Artist Residency Event,2026-06-12,Confirmed,Follow up required
RI-RI-421651,Ruby Jones,ruby.jones98@gmail.com,PL1 5 VW,Artist Residency Event,2026-06-12,Attended,Community partner
RI-RI-648441,Lucy Perry,lucy.perry2@gmail.com,PL4 9 ZW,Artist Residency Event,2026-06-12,Confirmed,Repeat attendee
RI-RI-950568,Emma Bell,emma.bell29@outlook.com,PL3 3 ZB,Artist Residency Event,2026-06-12,Confirmed,Follow up required
RI-RI-291852,Oliver Thomas,oliver.thomas73@yahoo.co.uk,PL4 2 SM,Artist Residency Event,2026-06-12,Confirmed,Follow up required
RI-RI-212387,Phoebe Harris,phoebe.harris61@gmail.com,PL4 6 YB,Community Performance,2026-08-23,Confirmed,Follow up required
RI-RI-399303,Ruby Baker,ruby.baker61@gmail.com,PL2 3 UY,Community Performance,2026-08-23,Confirmed,Community partner
RI-RI-844046,Ella Taylor,ella.taylor14@icloud.com,PL4 7 LF,Community Performance,2026-08-23,Attended,Repeat attendee
RI-RI-437789,Jessica Evans,jessica.evans26@gmail.com,PL2 9 HR,Community Performance,2026-08-23,Confirmed,Follow up required
RI-RI-927273,Lucy Perry,lucy.perry67@hotmail.co.uk,TQ2 9 DQ,Community Performance,2026-08-23,Confirmed,Follow up required
RI-RI-530220,Amelia Bell,amelia.bell84@yahoo.co.uk,TQ4 6 PG,Community Performance,2026-08-23,Confirmed,Repeat attendee
RI-RI-177822,Daniel Collins,daniel.collins63@outlook.com,PL4 1 UH,Community Performance,2026-08-23,Confirmed,Follow up required
RI-RI-553823,Noah Bennett,noah.bennett91@gmail.com,PL21 8 BU,Community Performance,2026-08-23,Confirmed,Follow up required
RI-RI-743002,Max Bell,max.bell1@yahoo.co.uk,PL3 9 JV,Community Performance,2026-08-23,Confirmed,
RI-RI-440298,George Wood,george.wood56@icloud.com,PL6 3 DT,Community Performance,2026-08-23,Confirmed,Repeat attendee
RI-RI-942645,Ethan Roberts,ethan.roberts34@hotmail.co.uk,PL7 5 CO,Community Performance,2026-08-23,Confirmed,
RI-RI-730901,William Evans,william.evans47@hotmail.co.uk,PL3 5 DE,Community Performance,2026-08-23,Confirmed,Community partner
RI-RI-353528,Jessica Hall,jessica.hall41@yahoo.co.uk,PL2 4 NJ,Community Performance,2026-08-23,Confirmed,Follow up required
RI-RI-956500,Thomas Scott,thomas.scott72@hotmail.co.uk,TR7 8 VI,Community Performance,2026-08-23,Confirmed,
RI-RI-114566,Alice Bell,alice.bell86@yahoo.co.uk,PL4 6 VU,Season Launch,2026-10-22,Confirmed,Repeat attendee
RI-RI-270482,Ethan Hill,ethan.hill55@outlook.com,PL9 4 JF,Season Launch,2026-10-22,Confirmed,Community partner
RI-RI-769447,Lucy Patel,lucy.patel25@yahoo.co.uk,PL6 3 HW,Season Launch,2026-10-22,Confirmed,
RI-RI-479704,Mia Evans,mia.evans58@outlook.com,PL1 8 XA,Season Launch,2026-10-22,Attended,
RI-RI-271942,Noah Baker,noah.baker94@yahoo.co.uk,PL9 1 SD,Season Launch,2026-10-22,Confirmed,Community partner
RI-RI-484026,Freya Wood,freya.wood53@yahoo.co.uk,TQ12 5 AU,Season Launch,2026-10-22,Confirmed,Community partner
RI-RI-262139,Sophie Collins,sophie.collins91@outlook.com,TR1 4 WL,Season Launch,2026-10-22,Confirmed,Repeat attendee
RI-RI-378087,Charlie Hill,charlie.hill17@hotmail.co.uk,PL1 7 DB,Season Launch,2026-10-22,Confirmed,Follow up required
RI-RI-933049,James Turner,james.turner33@outlook.com,PL3 2 EY,Season Launch,2026-10-22,Confirmed,Community partner
RI-RI-892288,Jack White,jack.white60@gmail.com,PL2 1 FI,Season Launch,2026-10-22,Confirmed,
RI-RI-165601,Megan Walker,megan.walker44@hotmail.co.uk,PL7 2 BU,Season Launch,2026-10-22,Confirmed,Community partner
RI-RI-102351,Ethan Bell,ethan.bell72@yahoo.co.uk,TR7 4 XB,Comedy Performance,2026-12-07,Attended,
RI-RI-379263,Jacob Ward,jacob.ward30@hotmail.co.uk,PL9 4 FF,Comedy Performance,2026-12-07,Attended,Follow up required
RI-RI-732471,James Allen,james.allen95@yahoo.co.uk,PL7 9 GG,Comedy Performance,2026-12-07,Confirmed,Community partner
RI-RI-804310,Thomas White,thomas.white51@outlook.com,PL2 7 BA,Comedy Performance,2026-12-07,Confirmed,Repeat attendee
RI-RI-371900,Alice Harris,alice.harris92@hotmail.co.uk,PL1 9 WI,Comedy Performance,2026-12-07,Confirmed,
RI-RI-671342,Daniel Wood,daniel.wood30@icloud.com,PL1 6 PY,Comedy Performance,2026-12-07,Confirmed,Community partner
RI-RI-237037,Henry Taylor,henry.taylor1@yahoo.co.uk,PL5 4 VL,Comedy Performance,2026-12-07,Confirmed,Community partner
RI-RI-278635,Alice Hill,alice.hill7@icloud.com,PL3 7 WN,Comedy Performance,2026-12-07,Confirmed,Repeat attendee
RI-RI-911609,Sophie Bell,sophie.bell90@icloud.com,TQ4 2 QO,Comedy Performance,2026-12-07,Confirmed,Community partner
RI-RI-901534,Amelia Jackson,amelia.jackson97@outlook.com,PL21 9 IB,Comedy Performance,2026-12-07,Confirmed,Follow up required
RI-RI-245537,Lucy Scott,lucy.scott49@gmail.com,PL12 4 EN,Comedy Performance,2026-12-07,Confirmed,Community partner
RI-RI-453789,William Ahmed,william.ahmed6@outlook.com,TQ1 8 GB,Comedy Performance,2026-12-07,Confirmed,Community partner
RI-RI-794488,Charlie Williams,charlie.williams42@outlook.com,PL7 9 ZS,Comedy Performance,2026-12-07,Confirmed,Follow up required
RI-RI-767282,Amelia Cooper,amelia.cooper1@gmail.com,TQ4 1 CY,Comedy Performance,2026-12-07,Confirmed,
RI-RI-848560,Charlie Green,charlie.green1@outlook.com,PL9 4 ID,Comedy Performance,2026-12-07,Attended,
RI-RI-502079,Samuel Evans,samuel.evans74@gmail.com,PL5 2 BU,Comedy Performance,2026-12-07,Cancelled,
RI-RI-538708,Ethan Morgan,ethan.morgan29@outlook.com,PL1 7 OD,Comedy Performance,2026-12-07,Confirmed,Follow up required
RI-RI-818912,Harry Scott,harry.scott32@icloud.com,EX2 9 QY,Comedy Performance,2026-12-07,Confirmed,Follow up required
RI-RI-897957,Megan Hill,megan.hill11@outlook.com,PL3 9 RU,Comedy Performance,2026-12-07,Confirmed,Follow up required
RI-RI-959670,Daniel Hall,daniel.hall37@yahoo.co.uk,PL4 2 VM,Comedy Performance,2026-12-07,Confirmed,Follow up required
RI-RI-511331,Megan White,megan.white84@outlook.com,TQ2 4 CN,Comedy Performance,2026-12-07,Attended,Repeat attendee
RI-RI-476887,Harry Clarke,harry.clarke96@outlook.com,PL1 1 MU,Comedy Performance,2026-12-07,Confirmed,
RI-RI-253770,Max Bell,max.bell45@hotmail.co.uk,PL21 1 WJ,Comedy Performance,2026-12-07,Confirmed,Community partner
RI-RI-852198,James White,james.white91@yahoo.co.uk,PL1 5 KE,Comedy Performance,2026-12-07,Attended,Follow up required
RI-RI-643659,George Bennett,george.bennett34@hotmail.co.uk,PL9 1 EC,Comedy Performance,2026-12-07,Attended,
RI-RI-518608,Noah Williams,noah.williams17@gmail.com,PL4 9 UE,Comedy Performance,2026-12-07,Attended,Follow up required
RI-RI-105787,Joshua Martin,joshua.martin64@gmail.com,PL4 8 KZ,Comedy Performance,2026-12-07,Confirmed,Repeat attendee
RI-RI-653650,Alfie Wood,alfie.wood17@gmail.com,PL14 6 XB,Comedy Performance,2026-12-07,Confirmed,Follow up required
RI-RI-249972,Freya Hall,freya.hall37@icloud.com,PL3 6 II,Comedy Performance,2026-12-07,Cancelled,
RI-RI-651863,Phoebe Baker,phoebe.baker95@outlook.com,PL5 3 MG,Comedy Performance,2026-12-07,Cancelled,Community partner
RI-RI-222027,Thomas Davies,thomas.davies23@icloud.com,TA1 6 PV,Comedy Performance,2026-12-07,Confirmed,
RI-RI-426899,Joshua Clarke,joshua.clarke64@hotmail.co.uk,PL2 2 YA,Comedy Performance,2026-12-07,Confirmed,Community partner
RI-RI-481805,Mia Brown,mia.brown18@yahoo.co.uk,TQ12 3 NT,Comedy Performance,2026-12-07,Cancelled,Repeat attendee
RI-RI-163204,Leo Ward,leo.ward80@outlook.com,PL6 3 KC,Comedy Performance,2026-12-07,Attended,Follow up required
RI-RI-854848,Thomas Hill,thomas.hill31@hotmail.co.uk,PL6 7 WQ,Comedy Performance,2026-12-07,Confirmed,
RI-RI-638394,Phoebe Taylor,phoebe.taylor35@gmail.com,PL6 3 TV,Comedy Performance,2026-12-07,Confirmed,Repeat attendee
RI-RI-415673,Freya Smith,freya.smith60@icloud.com,TA6 6 AP,Digital Arts Exhibition,2026-01-31,Confirmed,Community partner
RI-RI-829282,Jacob Ward,jacob.ward30@hotmail.co.uk,PL9 4 FF,Creative Workshop,2026-03-20,Attended,Repeat attendee
RI-RI-635638,Sophie Murphy,sophie.murphy87@hotmail.co.uk,PL3 2 HF,Creative Workshop,2026-03-20,Confirmed,Follow up required
RI-RI-615777,Jack Perry,jack.perry88@hotmail.co.uk,PL7 1 MT,Community Arts Festival,2026-04-12,Confirmed,Community partner
RI-RI-148929,Jacob Jackson,jacob.jackson98@gmail.com,EX1 4 OD,Community Arts Festival,2026-04-12,Confirmed,Repeat attendee
RI-RI-415595,Lily Ward,lily.ward72@gmail.com,PL12 8 RL,Contemporary Art Evening,2026-04-15,Confirmed,Follow up required
RI-RI-125830,Sophie Martin,sophie.martin85@icloud.com,EX3 5 FM,Contemporary Art Evening,2026-04-15,Confirmed,Follow up required
RI-RI-919615,Olivia Morgan,olivia.morgan84@icloud.com,PL7 2 LR,Local Artists Showcase,2026-06-29,Attended,
RI-RI-730746,Lucas Clarke,lucas.clarke35@outlook.com,PL5 7 UQ,Family Activity Day,2026-01-15,Confirmed,Repeat attendee
RI-RI-213947,Joshua King,joshua.king64@yahoo.co.uk,TQ1 3 RK,Family Activity Day,2026-01-15,Confirmed,Repeat attendee
RI-RI-170564,James Hill,james.hill51@gmail.com,TR1 7 XB,Family Activity Day,2026-01-15,Confirmed,Follow up required
RI-RI-689663,Emily Perry,emily.perry91@hotmail.co.uk,PL3 1 BZ,Family Activity Day,2026-01-15,Attended,Repeat attendee
RI-RI-582077,Poppy Singh,poppy.singh13@gmail.com,PL6 2 QI,Community Showcase,2026-02-24,Confirmed,Community partner
RI-RI-663561,Lily Baker,lily.baker28@outlook.com,PL1 8 JJ,Community Showcase,2026-02-24,Confirmed,Follow up required
RI-RI-859012,Harry White,harry.white84@yahoo.co.uk,PL19 7 HU,Community Showcase,2026-02-24,Attended,Community partner
RI-RI-503298,Amelia Smith,amelia.smith94@outlook.com,PL9 7 MA,Community Showcase,2026-02-24,Confirmed,
RI-RI-522391,Emma White,emma.white98@icloud.com,PL1 2 BO,Community Showcase,2026-02-24,Confirmed,Repeat attendee
RI-RI-581887,Jack Smith,jack.smith19@gmail.com,PL4 3 BQ,Community Showcase,2026-02-24,Confirmed,
RI-RI-902015,Alice Bell,alice.bell86@yahoo.co.uk,PL4 6 VU,Community Showcase,2026-02-24,Confirmed,Follow up required
RI-RI-390874,Megan White,megan.white84@outlook.com,TQ2 4 CN,Community Showcase,2026-02-24,Confirmed,Follow up required
RI-RI-894687,Phoebe Jones,phoebe.jones16@hotmail.co.uk,TA1 8 GZ,Public Forum,2026-03-11,Attended,Follow up required
RI-RI-473591,James Murphy,james.murphy9@outlook.com,PL3 8 WN,Public Forum,2026-03-11,Confirmed,
RI-RI-684517,Evie Morgan,evie.morgan72@hotmail.co.uk,TQ4 8 LU,Public Forum,2026-03-11,Confirmed,Repeat attendee
RI-RI-193591,Max Bell,max.bell1@yahoo.co.uk,PL3 9 JV,Public Forum,2026-03-11,Confirmed,Community partner
RI-RI-578024,Emma White,emma.white98@icloud.com,PL1 2 BO,Public Forum,2026-03-11,Confirmed,
RI-RI-311881,William Ahmed,william.ahmed98@outlook.com,PL21 5 TK,Public Forum,2026-03-11,Confirmed,Community partner
RI-RI-688754,Daniel Jackson,daniel.jackson15@icloud.com,PL4 5 RI,Neighbourhood Project,2026-07-30,Attended,Community partner
RI-RI-942115,Harry Singh,harry.singh54@gmail.com,TQ2 5 DK,Neighbourhood Project,2026-07-30,Confirmed,Repeat attendee
RI-RI-740403,Amelia Ahmed,amelia.ahmed28@icloud.com,PL2 5 MM,Neighbourhood Project,2026-07-30,Confirmed,Follow up required
RI-RI-857673,Charlotte Patel,charlotte.patel59@icloud.com,PL6 9 TQ,Neighbourhood Project,2026-07-30,Confirmed,Follow up required
RI-RI-655786,Jacob Jackson,jacob.jackson98@gmail.com,EX1 4 OD,Neighbourhood Project,2026-07-30,Confirmed,Follow up required
RI-RI-234705,Poppy Johnson,poppy.johnson17@yahoo.co.uk,PL7 7 MR,Neighbourhood Project,2026-07-30,Confirmed,Repeat attendee
RI-RI-974672,Poppy Brown,poppy.brown99@outlook.com,PL2 1 IQ,Neighbourhood Project,2026-07-30,Confirmed,Community partner
RI-RI-586054,William Williams,william.williams77@yahoo.co.uk,TQ3 2 FN,Neighbourhood Project,2026-07-30,Cancelled,Follow up required
RI-RI-438430,Poppy Johnson,poppy.johnson97@yahoo.co.uk,PL6 9 QO,Local Voices,2026-09-10,Confirmed,Community partner
RI-RI-737245,Mia Clarke,mia.clarke72@outlook.com,PL2 3 RW,Local Voices,2026-09-10,Attended,Repeat attendee
RI-RI-471477,Jacob Wilson,jacob.wilson19@gmail.com,PL2 3 AE,Local Voices,2026-09-10,Confirmed,
RI-RI-371467,Thomas White,thomas.white51@outlook.com,PL2 7 BA,Skills Workshop,2026-10-01,Confirmed,Community partner
RI-RI-471047,Evie Murphy,evie.murphy16@hotmail.co.uk,EX2 1 UP,Skills Workshop,2026-10-01,Confirmed,
RI-RI-752173,Charlotte Taylor,charlotte.taylor72@hotmail.co.uk,PL2 2 TG,Skills Workshop,2026-10-01,Attended,
RI-RI-129624,Evie Brown,evie.brown37@outlook.com,PL7 1 XB,Skills Workshop,2026-10-01,Confirmed,Repeat attendee
RI-RI-622093,Mia Evans,mia.evans58@outlook.com,PL1 8 XA,Community Conversation,2026-10-15,Attended,Community partner
RI-RI-445095,Oscar Evans,oscar.evans87@gmail.com,PL2 7 AG,Community Conversation,2026-10-15,Confirmed,
RI-RI-506767,Amelia Ahmed,amelia.ahmed28@icloud.com,PL2 5 MM,Community Conversation,2026-10-15,Confirmed,Community partner
RI-RI-381103,Emma Roberts,emma.roberts80@gmail.com,EX1 9 HV,Creative Wellbeing,2026-10-26,Confirmed,Repeat attendee
RI-RI-682121,Emma Collins,emma.collins17@hotmail.co.uk,PL3 9 PK,Local Stories,2026-04-03,Confirmed,Community partner
RI-RI-397353,Amelia Ahmed,amelia.ahmed28@icloud.com,PL2 5 MM,Local Stories,2026-04-03,Confirmed,Community partner
RI-RI-580607,Jack Bennett,jack.bennett56@hotmail.co.uk,PL6 9 DI,Local Stories,2026-04-03,Confirmed,Follow up required
RI-RI-294272,Lucas Scott,lucas.scott92@gmail.com,TA6 8 CW,Local Stories,2026-04-03,Attended,Repeat attendee
RI-RI-799586,Chloe Martin,chloe.martin45@outlook.com,PL4 1 DN,Local Stories,2026-04-03,Confirmed,Repeat attendee
RI-RI-402364,Noah Bennett,noah.bennett91@gmail.com,PL21 8 BU,Local Stories,2026-04-03,Confirmed,Repeat attendee
RI-RI-227291,Oliver Thomas,oliver.thomas73@yahoo.co.uk,PL4 2 SM,Local Stories,2026-04-03,Confirmed,Follow up required
RI-RI-699816,Mia Hill,mia.hill85@outlook.com,PL5 1 IV,Local Stories,2026-04-03,Attended,
RI-RI-307821,Mia Taylor,mia.taylor93@outlook.com,PL4 9 NR,Local Stories,2026-04-03,Confirmed,Community partner
RI-RI-708608,Henry Bennett,henry.bennett57@hotmail.co.uk,PL9 9 DD,Local Stories,2026-04-03,Confirmed,Follow up required
RI-RI-326436,Daniel Martin,daniel.martin49@yahoo.co.uk,PL6 7 MK,Local Stories,2026-04-03,Attended,
RI-RI-885936,Poppy Singh,poppy.singh13@gmail.com,PL6 2 QI,Local Stories,2026-04-03,Attended,Community partner
RI-RI-957975,Samuel Evans,samuel.evans74@gmail.com,PL5 2 BU,Local Stories,2026-04-03,Attended,Repeat attendee
RI-RI-961395,Ella Harris,ella.harris31@yahoo.co.uk,PL2 5 IF,Local Stories,2026-04-03,Attended,
RI-RI-587065,Evie Harris,evie.harris68@icloud.com,PL9 4 PU,Local Stories,2026-04-03,Confirmed,Community partner
RI-RI-983287,Megan Hall,megan.hall76@yahoo.co.uk,PL3 2 UY,Local Stories,2026-04-03,Confirmed,Repeat attendee
RI-RI-209285,Joshua Davies,joshua.davies22@icloud.com,PL6 4 LX,Local Stories,2026-04-03,Confirmed,
RI-RI-898492,Sophie Cook,sophie.cook60@outlook.com,PL2 5 AS,Local Stories,2026-04-03,Confirmed,
RI-RI-629407,Sophie Clarke,sophie.clarke50@hotmail.co.uk,PL6 3 JP,Local Stories,2026-04-03,Attended,
RI-RI-879498,Mia Cooper,mia.cooper74@hotmail.co.uk,PL9 5 HO,Local Stories,2026-04-03,Confirmed,Follow up required
RI-RI-947102,Sophie Clarke,sophie.clarke50@outlook.com,TQ2 6 XD,Local Stories,2026-04-03,Confirmed,Repeat attendee
RI-RI-558447,Lucas Murphy,lucas.murphy54@gmail.com,TR1 5 EC,Local Stories,2026-04-03,Confirmed,Follow up required
RI-RI-981115,Oliver Wilson,oliver.wilson35@yahoo.co.uk,PL1 3 WS,Local Stories,2026-04-03,Confirmed,Community partner
RI-RI-255624,Phoebe Turner,phoebe.turner53@outlook.com,PL2 3 NC,Local Stories,2026-04-03,Cancelled,Community partner
RI-RI-229408,Samuel Walker,samuel.walker98@hotmail.co.uk,PL1 5 ED,Local Stories,2026-04-03,Confirmed,
RI-RI-903188,Oliver Evans,oliver.evans37@outlook.com,TA6 8 DE,Local Stories,2026-04-03,Confirmed,Repeat attendee
